Query,Label
I'd like a minimalist kitchen design.,search
Do aliens exist?,unsupported
È costoso quel disegno con tiles?,follow_up_cost
Qual è il tuo sport preferito?,unsupported
Che tempo fa a Roma?,unsupported
Can you tell me the price of the Scandinavian layout?,follow_up_cost
Can you show me a kitchen layout?,search
Tell me something interesting.,unsupported
What's your favorite pizza topping?,unsupported
Dove si trova il vostro showroom a Napoli?,showroom
Mostrami un progetto per una garden.,search
Can you tell me the price of the modern layout?,follow_up_cost
Cerco un disegno per una bedroom in stile vintage.,search
What's your favorite animal?,unsupported
Is the showroom in Sestri Levante open today?,showroom
Where is your store in Milano?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
È costoso quel disegno con mirror?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Sai cucinare?,unsupported
Can you show me a living room layout?,search
How much does the bedroom design cost?,follow_up_cost
How much does the bedroom design cost?,follow_up_cost
Mostrami un progetto per una bedroom.,search
What's your favorite animal?,unsupported
Tell me something interesting.,unsupported
Where is your store in Cogorno?,showroom
Do aliens exist?,unsupported
Mostrami un progetto per una bathroom.,search
How much does the bathroom design cost?,follow_up_cost
Dove si trova il vostro showroom a Cogorno?,showroom
Mostrami un progetto per una kitchen.,search
Hai dei disegni per una bathroom?,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
What's your favorite animal?,unsupported
Quali sono gli orari di apertura a Milano?,showroom
Raccontami una barzelletta.,unsupported
Quali sono gli orari di apertura a Sestri Levante?,showroom
Where is your store in Sestri Levante?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Tell me something interesting.,unsupported
Can you show me a library layout?,search
I'd like a classic garden design.,search
What's your favorite pizza topping?,unsupported
Is the showroom in Napoli open today?,showroom
Posso visitare lo showroom il venerdì?,showroom
È costoso quel disegno con mirror?,follow_up_cost
Tell me something interesting.,unsupported
Do aliens exist?,unsupported
Quali sono gli orari di apertura a Cogorno?,showroom
È costoso quel disegno con mirror?,follow_up_cost
È costoso quel disegno con open shelves?,follow_up_cost
Raccontami una barzelletta.,unsupported
Hai dei disegni per una library?,search
Can you show me a living room layout?,search
Can you show me a bathroom layout?,search
Mostrami un progetto per una living room.,search
I'd like a Scandinavian library design.,search
Where is your store in Cogorno?,showroom
I'd like a minimalist library design.,search
Mi racconti una storia divertente?,unsupported
Cerco un disegno per una garden in stile classic.,search
Dove si trova il vostro showroom a Cogorno?,showroom
What's your favorite animal?,unsupported
Che tempo fa a Roma?,unsupported
Mostrami un progetto per una bedroom.,search
Dove si trova il vostro showroom a Sestri Levante?,showroom
Cerco un disegno per una bathroom in stile rustic.,search
I'd like a Scandinavian bedroom design.,search
Posso visitare lo showroom il mercoledì?,showroom
I'd like a vintage garden design.,search
Cerco un disegno per una bedroom in stile Scandinavian.,search
Where is your store in Cogorno?,showroom
Can you tell me the price of the vintage layout?,follow_up_cost
Dove si trova il vostro showroom a Sestri Levante?,showroom
Quanto costa il progetto per la kitchen?,follow_up_cost
Che tempo fa a Roma?,unsupported
Dove si trova il vostro showroom a Napoli?,showroom
What's your favorite pizza topping?,unsupported
Is the showroom in Napoli open today?,showroom
È costoso quel disegno con tiles?,follow_up_cost
Can you tell me the price of the vintage layout?,follow_up_cost
Is the showroom in Roma open today?,showroom
È costoso quel disegno con mirror?,follow_up_cost
Hai dei disegni per una kitchen?,search
Dove si trova il vostro showroom a Napoli?,showroom
Can you tell me the price of the vintage layout?,follow_up_cost
Dove si trova il vostro showroom a Roma?,showroom
Cerco un disegno per una kitchen in stile rustic.,search
Raccontami una barzelletta.,unsupported
How much does the living room design cost?,follow_up_cost
I'd like a vintage bathroom design.,search
Cerco un disegno per una bathroom in stile Scandinavian.,search
Can you show me a bedroom layout?,search
È costoso quel disegno con bathtub?,follow_up_cost
È costoso quel disegno con island?,follow_up_cost
Tell me something interesting.,unsupported
Quanto costa il progetto per la bedroom?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
Can you show me a bathroom layout?,search
Can you do math?,unsupported
Is the showroom in Sestri Levante open today?,showroom
Where is your store in Sestri Levante?,showroom
Posso visitare lo showroom il mercoledì?,showroom
Mi racconti una storia divertente?,unsupported
Quali sono gli orari di apertura a Sestri Levante?,showroom
Can you do math?,unsupported
Sai cucinare?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you tell me the price of the rustic layout?,follow_up_cost
I'd like a Scandinavian bathroom design.,search
Tell me something interesting.,unsupported
Can you do math?,unsupported
Quanto costa il progetto per la garden?,follow_up_cost
Do aliens exist?,unsupported
I'd like a modern living room design.,search
How much does the bathroom design cost?,follow_up_cost
Mostrami un progetto per una library.,search
Qual è il tuo sport preferito?,unsupported
Quali sono gli orari di apertura a Milano?,showroom
Quali sono gli orari di apertura a Cogorno?,showroom
Can you show me a living room layout?,search
Qual è il tuo sport preferito?,unsupported
Tell me something interesting.,unsupported
Dove si trova il vostro showroom a Roma?,showroom
Hai dei disegni per una kitchen?,search
Quanto costa il progetto per la bathroom?,follow_up_cost
È costoso quel disegno con open shelves?,follow_up_cost
Quali sono gli orari di apertura a Milano?,showroom
How much does the bathroom design cost?,follow_up_cost
I'd like a Scandinavian kitchen design.,search
Cerco un disegno per una kitchen in stile Scandinavian.,search
Hai dei disegni per una kitchen?,search
È costoso quel disegno con island?,follow_up_cost
Dove si trova il vostro showroom a Napoli?,showroom
Posso visitare lo showroom il domenica?,showroom
Sai cucinare?,unsupported
Cerco un disegno per una bedroom in stile Scandinavian.,search
Hai dei disegni per una living room?,search
Where is your store in Napoli?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Dove si trova il vostro showroom a Napoli?,showroom
Quanto costa il progetto per la kitchen?,follow_up_cost
Hai dei disegni per una bathroom?,search
Posso visitare lo showroom il venerdì?,showroom
Is the showroom in Roma open today?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Raccontami una barzelletta.,unsupported
Quanto costa il progetto per la library?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
È costoso quel disegno con open shelves?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
What's your favorite pizza topping?,unsupported
Mostrami un progetto per una bedroom.,search
Cerco un disegno per una living room in stile rustic.,search
Sai cucinare?,unsupported
Mostrami un progetto per una garden.,search
Che tempo fa a Roma?,unsupported
Raccontami una barzelletta.,unsupported
Can you do math?,unsupported
Raccontami una barzelletta.,unsupported
Can you show me a bathroom layout?,search
Can you do math?,unsupported
Do aliens exist?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you show me a bedroom layout?,search
I'd like a vintage kitchen design.,search
Qual è il tuo sport preferito?,unsupported
È costoso quel disegno con tiles?,follow_up_cost
What's your favorite animal?,unsupported
Mostrami un progetto per una kitchen.,search
Can you do math?,unsupported
I'd like a minimalist library design.,search
Quanto costa il progetto per la kitchen?,follow_up_cost
Raccontami una barzelletta.,unsupported
Qual è il tuo sport preferito?,unsupported
Quali sono gli orari di apertura a Cogorno?,showroom
È costoso quel disegno con open shelves?,follow_up_cost
Posso visitare lo showroom il sabato?,showroom
È costoso quel disegno con tiles?,follow_up_cost
Mostrami un progetto per una bedroom.,search
Tell me something interesting.,unsupported
È costoso quel disegno con bathtub?,follow_up_cost
Can you tell me the price of the vintage layout?,follow_up_cost
Can you show me a garden layout?,search
Can you tell me the price of the minimalist layout?,follow_up_cost
Quali sono gli orari di apertura a Sestri Levante?,showroom
I'd like a modern living room design.,search
I'd like a Scandinavian kitchen design.,search
Qual è il tuo sport preferito?,unsupported
What's your favorite pizza topping?,unsupported
Can you tell me the price of the minimalist layout?,follow_up_cost
Dove si trova il vostro showroom a Roma?,showroom
Quanto costa il progetto per la bathroom?,follow_up_cost
Che tempo fa a Roma?,unsupported
Cerco un disegno per una library in stile classic.,search
Can you tell me the price of the rustic layout?,follow_up_cost
What's your favorite animal?,unsupported
Sai cucinare?,unsupported
What's your favorite animal?,unsupported
Where is your store in Sestri Levante?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you tell me the price of the modern layout?,follow_up_cost
Can you show me a living room layout?,search
Can you show me a garden layout?,search
Can you tell me the price of the Scandinavian layout?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Dove si trova il vostro showroom a Sestri Levante?,showroom
Tell me something interesting.,unsupported
How much does the kitchen design cost?,follow_up_cost
Where is your store in Cogorno?,showroom
Can you tell me the price of the minimalist layout?,follow_up_cost
Mostrami un progetto per una bathroom.,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Cerco un disegno per una living room in stile vintage.,search
Quali sono gli orari di apertura a Milano?,showroom
Mostrami un progetto per una bedroom.,search
Posso visitare lo showroom il venerdì?,showroom
What's your favorite pizza topping?,unsupported
How much does the bathroom design cost?,follow_up_cost
Can you tell me the price of the modern layout?,follow_up_cost
Dove si trova il vostro showroom a Milano?,showroom
Dove si trova il vostro showroom a Milano?,showroom
Posso visitare lo showroom il mercoledì?,showroom
È costoso quel disegno con bathtub?,follow_up_cost
Can you show me a bathroom layout?,search
Posso visitare lo showroom il domenica?,showroom
È costoso quel disegno con mirror?,follow_up_cost
Can you tell me the price of the Scandinavian layout?,follow_up_cost
Where is your store in Sestri Levante?,showroom
Can you show me a garden layout?,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the bathroom design cost?,follow_up_cost
What's your favorite animal?,unsupported
Do aliens exist?,unsupported
Che tempo fa a Roma?,unsupported
What's your favorite pizza topping?,unsupported
Cerco un disegno per una living room in stile minimalist.,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Dove si trova il vostro showroom a Sestri Levante?,showroom
How much does the living room design cost?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
What's your favorite pizza topping?,unsupported
Quanto costa il progetto per la library?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Can you tell me the price of the classic layout?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Dove si trova il vostro showroom a Milano?,showroom
Quali sono gli orari di apertura a Sestri Levante?,showroom
Is the showroom in Napoli open today?,showroom
Quali sono gli orari di apertura a Roma?,showroom
Mi racconti una storia divertente?,unsupported
Dove si trova il vostro showroom a Roma?,showroom
Mi racconti una storia divertente?,unsupported
Mostrami un progetto per una bathroom.,search
Cerco un disegno per una living room in stile vintage.,search
Where is your store in Roma?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Where is your store in Napoli?,showroom
Can you tell me the price of the modern layout?,follow_up_cost
Posso visitare lo showroom il sabato?,showroom
Raccontami una barzelletta.,unsupported
How much does the garden design cost?,follow_up_cost
Quali sono gli orari di apertura a Napoli?,showroom
È costoso quel disegno con tiles?,follow_up_cost
Is the showroom in Napoli open today?,showroom
Can you show me a garden layout?,search
I'd like a Scandinavian garden design.,search
Posso visitare lo showroom il mercoledì?,showroom
I'd like a minimalist garden design.,search
Mi racconti una storia divertente?,unsupported
Where is your store in Milano?,showroom
Raccontami una barzelletta.,unsupported
Posso visitare lo showroom il domenica?,showroom
Is the showroom in Napoli open today?,showroom
Mostrami un progetto per una bedroom.,search
Hai dei disegni per una bedroom?,search
I'd like a modern garden design.,search
Posso visitare lo showroom il venerdì?,showroom
Where is your store in Napoli?,showroom
Sai cucinare?,unsupported
Where is your store in Cogorno?,showroom
Mi racconti una storia divertente?,unsupported
Qual è il tuo sport preferito?,unsupported
I'd like a rustic bedroom design.,search
Where is your store in Sestri Levante?,showroom
Sai cucinare?,unsupported
How much does the living room design cost?,follow_up_cost
How much does the bedroom design cost?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Che tempo fa a Roma?,unsupported
What's your favorite animal?,unsupported
Quali sono gli orari di apertura a Cogorno?,showroom
Quanto costa il progetto per la living room?,follow_up_cost
Can you show me a bedroom layout?,search
Hai dei disegni per una bedroom?,search
Quali sono gli orari di apertura a Cogorno?,showroom
I'd like a Scandinavian bathroom design.,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Quanto costa il progetto per la bedroom?,follow_up_cost
Dove si trova il vostro showroom a Roma?,showroom
Cerco un disegno per una bedroom in stile rustic.,search
Is the showroom in Milano open today?,showroom
What's your favorite animal?,unsupported
Can you tell me the price of the minimalist layout?,follow_up_cost
Hai dei disegni per una bathroom?,search
Mostrami un progetto per una kitchen.,search
Qual è il tuo sport preferito?,unsupported
I'd like a modern kitchen design.,search
Dove si trova il vostro showroom a Sestri Levante?,showroom
What's your favorite pizza topping?,unsupported
I'd like a modern living room design.,search
What's your favorite pizza topping?,unsupported
Mostrami un progetto per una library.,search
Can you tell me the price of the vintage layout?,follow_up_cost
What's your favorite pizza topping?,unsupported
Mostrami un progetto per una living room.,search
Can you show me a living room layout?,search
Can you show me a garden layout?,search
Can you tell me the price of the classic layout?,follow_up_cost
I'd like a vintage bathroom design.,search
Hai dei disegni per una bedroom?,search
Mostrami un progetto per una garden.,search
Che tempo fa a Roma?,unsupported
Mostrami un progetto per una living room.,search
Hai dei disegni per una library?,search
Qual è il tuo sport preferito?,unsupported
Mostrami un progetto per una bathroom.,search
Posso visitare lo showroom il domenica?,showroom
Cerco un disegno per una bedroom in stile modern.,search
Cerco un disegno per una bedroom in stile classic.,search
È costoso quel disegno con tiles?,follow_up_cost
È costoso quel disegno con open shelves?,follow_up_cost
Raccontami una barzelletta.,unsupported
Posso visitare lo showroom il mercoledì?,showroom
Do aliens exist?,unsupported
Cerco un disegno per una kitchen in stile classic.,search
I'd like a vintage living room design.,search
Quali sono gli orari di apertura a Milano?,showroom
Can you do math?,unsupported
How much does the kitchen design cost?,follow_up_cost
Can you tell me the price of the classic layout?,follow_up_cost
How much does the living room design cost?,follow_up_cost
Sai cucinare?,unsupported
I'd like a rustic bathroom design.,search
Hai dei disegni per una bedroom?,search
How much does the living room design cost?,follow_up_cost
Mostrami un progetto per una bathroom.,search
Qual è il tuo sport preferito?,unsupported
Cerco un disegno per una living room in stile minimalist.,search
Do aliens exist?,unsupported
Where is your store in Milano?,showroom
Quali sono gli orari di apertura a Roma?,showroom
Can you tell me the price of the Scandinavian layout?,follow_up_cost
Raccontami una barzelletta.,unsupported
Dove si trova il vostro showroom a Milano?,showroom
Where is your store in Cogorno?,showroom
Posso visitare lo showroom il sabato?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the garden design cost?,follow_up_cost
Where is your store in Roma?,showroom
Posso visitare lo showroom il domenica?,showroom
Can you tell me the price of the Scandinavian layout?,follow_up_cost
È costoso quel disegno con mirror?,follow_up_cost
Quanto costa il progetto per la kitchen?,follow_up_cost
I'd like a modern garden design.,search
Quali sono gli orari di apertura a Roma?,showroom
Mostrami un progetto per una library.,search
Qual è il tuo sport preferito?,unsupported
Can you show me a bedroom layout?,search
Can you do math?,unsupported
Do aliens exist?,unsupported
È costoso quel disegno con island?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
What's your favorite animal?,unsupported
Mostrami un progetto per una living room.,search
Is the showroom in Roma open today?,showroom
What's your favorite animal?,unsupported
Qual è il tuo sport preferito?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
È costoso quel disegno con open shelves?,follow_up_cost
Mostrami un progetto per una kitchen.,search
How much does the kitchen design cost?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Quali sono gli orari di apertura a Napoli?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Dove si trova il vostro showroom a Cogorno?,showroom
Quanto costa il progetto per la bedroom?,follow_up_cost
Quali sono gli orari di apertura a Napoli?,showroom
Quanto costa il progetto per la garden?,follow_up_cost
Sai cucinare?,unsupported
Can you tell me the price of the classic layout?,follow_up_cost
Do aliens exist?,unsupported
Posso visitare lo showroom il sabato?,showroom
Dove si trova il vostro showroom a Roma?,showroom
Quanto costa il progetto per la bathroom?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Hai dei disegni per una bedroom?,search
È costoso quel disegno con tiles?,follow_up_cost
Quanto costa il progetto per la living room?,follow_up_cost
Mostrami un progetto per una bedroom.,search
Che tempo fa a Roma?,unsupported
Raccontami una barzelletta.,unsupported
Sai cucinare?,unsupported
Sai cucinare?,unsupported
Posso visitare lo showroom il venerdì?,showroom
Quali sono gli orari di apertura a Sestri Levante?,showroom
How much does the garden design cost?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Where is your store in Milano?,showroom
Dove si trova il vostro showroom a Milano?,showroom
I'd like a vintage kitchen design.,search
Cerco un disegno per una bathroom in stile vintage.,search
Tell me something interesting.,unsupported
How much does the living room design cost?,follow_up_cost
Hai dei disegni per una bedroom?,search
Che tempo fa a Roma?,unsupported
How much does the bathroom design cost?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the kitchen design cost?,follow_up_cost
How much does the bedroom design cost?,follow_up_cost
Sai cucinare?,unsupported
Mostrami un progetto per una living room.,search
Mostrami un progetto per una library.,search
How much does the kitchen design cost?,follow_up_cost
Quanto costa il progetto per la kitchen?,follow_up_cost
È costoso quel disegno con bathtub?,follow_up_cost
Sai cucinare?,unsupported
Mostrami un progetto per una kitchen.,search
I'd like a minimalist library design.,search
Qual è il tuo sport preferito?,unsupported
Hai dei disegni per una bathroom?,search
Qual è il tuo sport preferito?,unsupported
Is the showroom in Sestri Levante open today?,showroom
Hai dei disegni per una library?,search
Is the showroom in Cogorno open today?,showroom
Raccontami una barzelletta.,unsupported
Dove si trova il vostro showroom a Napoli?,showroom
I'd like a classic garden design.,search
Dove si trova il vostro showroom a Milano?,showroom
Dove si trova il vostro showroom a Napoli?,showroom
Quanto costa il progetto per la living room?,follow_up_cost
Quali sono gli orari di apertura a Sestri Levante?,showroom
What's your favorite animal?,unsupported
Raccontami una barzelletta.,unsupported
Can you do math?,unsupported
Quanto costa il progetto per la kitchen?,follow_up_cost
Can you tell me the price of the rustic layout?,follow_up_cost
Can you show me a bedroom layout?,search
Is the showroom in Cogorno open today?,showroom
Posso visitare lo showroom il venerdì?,showroom
What's your favorite animal?,unsupported
Can you tell me the price of the classic layout?,follow_up_cost
È costoso quel disegno con mirror?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
Sai cucinare?,unsupported
Raccontami una barzelletta.,unsupported
Mi racconti una storia divertente?,unsupported
Che tempo fa a Roma?,unsupported
Qual è il tuo sport preferito?,unsupported
Qual è il tuo sport preferito?,unsupported
Can you tell me the price of the Scandinavian layout?,follow_up_cost
Dove si trova il vostro showroom a Sestri Levante?,showroom
Can you show me a living room layout?,search
Can you tell me the price of the vintage layout?,follow_up_cost
Where is your store in Sestri Levante?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you show me a bathroom layout?,search
Posso visitare lo showroom il venerdì?,showroom
Mi racconti una storia divertente?,unsupported
What's your favorite pizza topping?,unsupported
Quali sono gli orari di apertura a Napoli?,showroom
Hai dei disegni per una kitchen?,search
Posso visitare lo showroom il venerdì?,showroom
Quali sono gli orari di apertura a Milano?,showroom
È costoso quel disegno con open shelves?,follow_up_cost
What's your favorite pizza topping?,unsupported
Quanto costa il progetto per la library?,follow_up_cost
Can you do math?,unsupported
I'd like a vintage library design.,search
Cerco un disegno per una library in stile minimalist.,search
Che tempo fa a Roma?,unsupported
È costoso quel disegno con tiles?,follow_up_cost
È costoso quel disegno con open shelves?,follow_up_cost
Sai cucinare?,unsupported
Dove si trova il vostro showroom a Cogorno?,showroom
Tell me something interesting.,unsupported
I'd like a minimalist bathroom design.,search
Is the showroom in Roma open today?,showroom
Dove si trova il vostro showroom a Sestri Levante?,showroom
Qual è il tuo sport preferito?,unsupported
Cerco un disegno per una bathroom in stile classic.,search
Where is your store in Cogorno?,showroom
Cerco un disegno per una bathroom in stile modern.,search
Qual è il tuo sport preferito?,unsupported
Can you show me a kitchen layout?,search
Where is your store in Milano?,showroom
Is the showroom in Milano open today?,showroom
Dove si trova il vostro showroom a Napoli?,showroom
È costoso quel disegno con mirror?,follow_up_cost
What's your favorite animal?,unsupported
Hai dei disegni per una library?,search
Posso visitare lo showroom il sabato?,showroom
Cerco un disegno per una library in stile modern.,search
Posso visitare lo showroom il domenica?,showroom
Qual è il tuo sport preferito?,unsupported
Qual è il tuo sport preferito?,unsupported
Posso visitare lo showroom il domenica?,showroom
Can you tell me the price of the rustic layout?,follow_up_cost
Where is your store in Milano?,showroom
Can you do math?,unsupported
Is the showroom in Napoli open today?,showroom
Mostrami un progetto per una bedroom.,search
Hai dei disegni per una bathroom?,search
Mostrami un progetto per una kitchen.,search
How much does the garden design cost?,follow_up_cost
What's your favorite animal?,unsupported
È costoso quel disegno con mirror?,follow_up_cost
Cerco un disegno per una bathroom in stile Scandinavian.,search
Raccontami una barzelletta.,unsupported
Do aliens exist?,unsupported
Is the showroom in Roma open today?,showroom
Tell me something interesting.,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you tell me the price of the Scandinavian layout?,follow_up_cost
È costoso quel disegno con bathtub?,follow_up_cost
Is the showroom in Napoli open today?,showroom
È costoso quel disegno con bathtub?,follow_up_cost
Mostrami un progetto per una living room.,search
Quanto costa il progetto per la bathroom?,follow_up_cost
Cerco un disegno per una bathroom in stile classic.,search
Hai dei disegni per una bedroom?,search
Quanto costa il progetto per la bedroom?,follow_up_cost
How much does the bathroom design cost?,follow_up_cost
Quali sono gli orari di apertura a Napoli?,showroom
È costoso quel disegno con bathtub?,follow_up_cost
Mostrami un progetto per una bathroom.,search
Sai cucinare?,unsupported
I'd like a Scandinavian living room design.,search
Posso visitare lo showroom il sabato?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the bedroom design cost?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
What's your favorite pizza topping?,unsupported
Tell me something interesting.,unsupported
Can you tell me the price of the modern layout?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Is the showroom in Roma open today?,showroom
What's your favorite animal?,unsupported
Mi racconti una storia divertente?,unsupported
Mi racconti una storia divertente?,unsupported
Quanto costa il progetto per la kitchen?,follow_up_cost
Cerco un disegno per una garden in stile minimalist.,search
Dove si trova il vostro showroom a Sestri Levante?,showroom
Quanto costa il progetto per la living room?,follow_up_cost
Posso visitare lo showroom il lunedì?,showroom
Is the showroom in Napoli open today?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Cerco un disegno per una kitchen in stile vintage.,search
Is the showroom in Roma open today?,showroom
Is the showroom in Milano open today?,showroom
What's your favorite animal?,unsupported
Cerco un disegno per una library in stile modern.,search
Dove si trova il vostro showroom a Roma?,showroom
Quanto costa il progetto per la garden?,follow_up_cost
I'd like a classic library design.,search
Tell me something interesting.,unsupported
Dove si trova il vostro showroom a Sestri Levante?,showroom
Is the showroom in Cogorno open today?,showroom
How much does the bedroom design cost?,follow_up_cost
Where is your store in Cogorno?,showroom
Posso visitare lo showroom il lunedì?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Posso visitare lo showroom il venerdì?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the library design cost?,follow_up_cost
Che tempo fa a Roma?,unsupported
Can you do math?,unsupported
Mi racconti una storia divertente?,unsupported
I'd like a classic bedroom design.,search
È costoso quel disegno con tiles?,follow_up_cost
Sai cucinare?,unsupported
Quanto costa il progetto per la bedroom?,follow_up_cost
Dove si trova il vostro showroom a Roma?,showroom
Can you show me a garden layout?,search
What's your favorite animal?,unsupported
Can you tell me the price of the modern layout?,follow_up_cost
Qual è il tuo sport preferito?,unsupported
Quali sono gli orari di apertura a Napoli?,showroom
I'd like a classic library design.,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the kitchen design cost?,follow_up_cost
Is the showroom in Napoli open today?,showroom
Is the showroom in Milano open today?,showroom
Cerco un disegno per una garden in stile classic.,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Quali sono gli orari di apertura a Milano?,showroom
Quali sono gli orari di apertura a Napoli?,showroom
Cerco un disegno per una bathroom in stile classic.,search
Mostrami un progetto per una kitchen.,search
Quanto costa il progetto per la library?,follow_up_cost
Do aliens exist?,unsupported
Quali sono gli orari di apertura a Sestri Levante?,showroom
Hai dei disegni per una bathroom?,search
Tell me something interesting.,unsupported
Quanto costa il progetto per la library?,follow_up_cost
Can you tell me the price of the classic layout?,follow_up_cost
What's your favorite animal?,unsupported
Where is your store in Roma?,showroom
Can you show me a bathroom layout?,search
Do aliens exist?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you show me a bathroom layout?,search
I'd like a rustic kitchen design.,search
Can you do math?,unsupported
I'd like a classic bathroom design.,search
How much does the bathroom design cost?,follow_up_cost
Is the showroom in Roma open today?,showroom
Posso visitare lo showroom il lunedì?,showroom
Hai dei disegni per una bathroom?,search
Is the showroom in Napoli open today?,showroom
Where is your store in Milano?,showroom
Can you do math?,unsupported
Hai dei disegni per una library?,search
Can you show me a garden layout?,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Quali sono gli orari di apertura a Napoli?,showroom
Mostrami un progetto per una living room.,search
Can you tell me the price of the classic layout?,follow_up_cost
Hai dei disegni per una bathroom?,search
How much does the bedroom design cost?,follow_up_cost
Dove si trova il vostro showroom a Napoli?,showroom
Can you show me a library layout?,search
Can you show me a bedroom layout?,search
Hai dei disegni per una bedroom?,search
Quali sono gli orari di apertura a Napoli?,showroom
Dove si trova il vostro showroom a Cogorno?,showroom
Posso visitare lo showroom il domenica?,showroom
I'd like a classic bedroom design.,search
Is the showroom in Cogorno open today?,showroom
Dove si trova il vostro showroom a Milano?,showroom
Tell me something interesting.,unsupported
È costoso quel disegno con bathtub?,follow_up_cost
È costoso quel disegno con island?,follow_up_cost
Hai dei disegni per una bedroom?,search
Is the showroom in Napoli open today?,showroom
Hai dei disegni per una living room?,search
What's your favorite animal?,unsupported
Sai cucinare?,unsupported
Can you show me a bathroom layout?,search
Che tempo fa a Roma?,unsupported
How much does the garden design cost?,follow_up_cost
È costoso quel disegno con island?,follow_up_cost
Can you tell me the price of the minimalist layout?,follow_up_cost
Tell me something interesting.,unsupported
Can you show me a living room layout?,search
Do aliens exist?,unsupported
Hai dei disegni per una bathroom?,search
Cerco un disegno per una bedroom in stile vintage.,search
What's your favorite pizza topping?,unsupported
What's your favorite pizza topping?,unsupported
How much does the kitchen design cost?,follow_up_cost
Quali sono gli orari di apertura a Cogorno?,showroom
Quanto costa il progetto per la garden?,follow_up_cost
I'd like a minimalist garden design.,search
I'd like a modern library design.,search
Dove si trova il vostro showroom a Sestri Levante?,showroom
Quali sono gli orari di apertura a Napoli?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Che tempo fa a Roma?,unsupported
Quanto costa il progetto per la kitchen?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Che tempo fa a Roma?,unsupported
Can you do math?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Raccontami una barzelletta.,unsupported
Can you show me a library layout?,search
È costoso quel disegno con tiles?,follow_up_cost
Posso visitare lo showroom il lunedì?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you show me a library layout?,search
Can you show me a bedroom layout?,search
Is the showroom in Milano open today?,showroom
Hai dei disegni per una garden?,search
